Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
532870,ANKITMETAL,Ankit Metal & Power Ltd,Active,Z ,10,INE106I01010,Iron & Steel,Equity,Commodities,Metals & Mining
532872,SPARC,Sun Pharma Advanced Research Company Ltd,Active,A ,1,INE232I01014,Pharmaceuticals,Equity,Healthcare,Healthcare
532875,ADSL,Allied Digital Services Ltd,Active,B ,5,INE102I01027,IT Enabled Services,Equity,Information Technology,Information Technology
532878,ALPA,Alpa Laboratories Ltd,Active,B ,10,INE385I01010,Pharmaceuticals,Equity,Healthcare,Healthcare
532879,SSLEL,Sir Shadi Lal Enterprises Ltd,Active,X ,10,INE117H01019,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532880,OMAXE,Omaxe Ltd,Active,B ,10,INE800H01010,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532884,REFEX,Refex Industries Ltd,Active,B ,2,INE056I01025,Industrial Gases,Equity,Commodities,Chemicals
532885,CENTRALBK,Central Bank of India,Active,A ,10,INE483A01010,Public Sector Bank,Equity,Financial Services,Financial Services
532886,SELMC,SEL Manufacturing Company Ltd,Active,T ,10,INE105I01020,Other Textile Products,Equity,Consumer Discretionary,Textiles
532888,ASIANTILES,Asian Granito India Ltd,Active,B ,10,INE022I01019,Ceramics,Equity,Consumer Discretionary,Consumer Durables
532889,KPRMILL,K.P.R. Mill Limited,Active,A ,1,INE930H01031,Other Textile Products,Equity,Consumer Discretionary,Textiles
532890,TAKE,Take Solutions Ltd,Active,Z ,1,INE142I01023,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare
532891,PURVA,Puravankara Ltd,Active,B ,5,INE323I01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532892,MOTILALOFS,Motilal Oswal Financial Services Ltd,Active,A ,1,INE338I01027,Stockbroking & Allied,Equity,Financial Services,Financial Services
532893,VTMLTD,VTM Ltd,Active,XT,1,INE222F01029,Other Textile Products,Equity,Consumer Discretionary,Textiles
532894,INDOWIND,Indowind Energy Ltd,Active,B ,10,INE227G01018,Power Generation,Equity,Utilities,Power
532895,NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd,Active,B ,5,INE245I01016,Investment Company,Equity,Financial Services,Financial Services
532896,MAGNUM,Magnum Ventures Ltd,Active,B ,10,INE387I01016,Paper & Paper Products,Equity,Commodities,Forest Materials
532898,POWERGRID,Power Grid Corporation of India Ltd,Active,A ,10,INE752E01010,Power - Transmission,Equity,Utilities,Power
532899,KSCL,Kaveri Seed Company Ltd,Active,A ,2,INE455I01029,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532900,PAISALO,Paisalo Digital Ltd,Active,A ,1,INE420C01059,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
532902,CCCL,Consolidated Construction Consortium Ltd,Active,B ,2,INE429I01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532904,SUPREMEINF,Supreme Infrastructure India Ltd,Active,Z ,10,INE550H01011,Civil Construction,Equity,Industrials,Construction
532906,MAANALU,Maan Aluminium Ltd,Active,B ,5,INE215I01027,Aluminium,Equity,Commodities,Metals & Mining
532907,IL&FSENGG,IL&FS Engineering and Construction Company Ltd,Active,Z ,10,INE369I01014,Civil Construction,Equity,Industrials,Construction
532911,PARLEIND,Parle Industries Ltd,Active,XT,10,INE272G01014,Diversified Commercial Services,Equity,Services,Services
532915,RELIGARE,Religare Enterprises Ltd,Active,A ,10,INE621H01010,Investment Company,Equity,Financial Services,Financial Services
532916,BVCL,Barak Valley Cements Ltd,Active,B ,10,INE139I01011,Cement & Cement Products,Equity,Commodities,Construction Materials
